BUILDINGID,X,Y,OBJECTID,RESIDENTIAL_ZONING,FULL_ADDRESS_EN,FULL_ROADNAME_EN,FULL_ROADNAME_FR,POSTAL_CODE,CP_MUNICIPALITY,MUNICIPALITY,WARD,POINT_X,MINLOSIZELEFT,POINT_Y
251435,-75.63863859,45.42548043,253268,R4,746 Alesther St,Alesther St,rue Alesther,K1K,OTTAWA,Old Ottawa,13,372204.316,1000,5032088.25
251791,-75.64461811,45.42988086,253629,R1,528 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371731.198,221.5,5032572.271
252335,-75.63973642,45.42585505,254178,R4,722 Alesther St,Alesther St,rue Alesther,K1K4H3,OTTAWA,Old Ottawa,13,372117.962,1000,5032128.962
252595,-75.63893654,45.42529819,254438,R4,745 Alesther St,Alesther St,rue Alesther,K1K1H7,OTTAWA,Old Ottawa,13,372181.217,1000,5032067.749
254548,-75.6450056,45.4298531,256417,R1,520 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371700.911,221.5,5032568.864
257600,-75.63966141,45.42658645,259510,R4,703 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372122.962,1000,5032210.304
260018,-75.64109065,45.42928446,261955,R1,619 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,372007.92,221.5,5032508.936
268772,-75.6392207,45.42580888,270748,R4,727 Alesther St,Alesther St,rue Alesther,K1K1H7,OTTAWA,Old Ottawa,13,372158.373,1000,5032124.263
270672,-75.64161994,45.43019373,272648,R1,589 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371965.425,221.5,5032609.54
290046,-75.64028052,45.42775243,292031,R1,667 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372073.131,221.5,5032339.36
295257,-75.64013659,45.42749759,297242,R1,675 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372084.696,221.5,5032311.16
295604,-75.63999268,45.42724275,297589,R1,683 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372096.26,221.5,5032282.961
297006,-75.64241356,45.43052035,298992,R1,575 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371902.94,221.5,5032645.174
301228,-75.64175191,45.42932198,303214,R1,610 Alesther St,Alesther St,rue Alesther,K1K1J2,OTTAWA,Old Ottawa,13,371956.133,221.5,5032512.553
303429,-75.64429769,45.43038527,305415,R1,535 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371755.674,221.5,5032628.592
307731,-75.64056817,45.42826214,309719,R1,651 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372050.017,221.5,5032395.763
318637,-75.64117414,45.42943337,320635,R1,615 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,372001.21,221.5,5032525.414
322959,-75.64403688,45.42992248,324962,R1,540 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371776.629,221.5,5032577.38
323259,-75.64216201,45.43004564,325262,R1,578 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371923.186,221.5,5032592.63
323575,-75.63973642,45.42585505,325578,R4,720 Alesther St,Alesther St,rue Alesther,K1K4H3,OTTAWA,Old Ottawa,13,372117.962,1000,5032128.962
333252,-75.63910703,45.42560461,335261,R4,733 Alesther St,Alesther St,rue Alesther,K1K1H7,OTTAWA,Old Ottawa,13,372167.511,1000,5032101.658
343354,-75.64138008,45.42981634,345370,R1,601 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371984.641,221.5,5032567.801
354437,-75.642617,45.43050578,356459,R1,571 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371887.039,221.5,5032643.385
373330,-75.6392207,45.42580888,375424,R4,729 Alesther St,Alesther St,rue Alesther,K1K1H7,OTTAWA,Old Ottawa,13,372158.373,1000,5032124.263
